Company,TypeName,Ram,OpSys,Weight,Price,PPI,Cpu processor,Gpu_brand,HDD,SSD,Hybrid,Flash_Storage
HP,Notebook,8.0,Windows,2.5,47738.88,127.33567457123112,Intel Core i5,Nvidia,1000,0,0,0
Other,Notebook,4.0,Windows,1.89,13053.0672,141.21199808219862,Other Intel Processor,Intel,0,0,0,64
Asus,Notebook,2.0,Windows,1.65,10602.72,111.93520355955212,AMD Processor,AMD,0,0,0,32
HP,Notebook,4.0,Windows,2.71,23389.92,127.33567457123112,AMD Processor,AMD,500,0,0,0
Apple,Ultrabook,8.0,Mac,1.35,53173.44,127.67794013309688,Intel Core i5,Intel,0,0,0,256
Lenovo,Notebook,4.0,Windows,1.44,13266.72,111.93520355955212,Other Intel Processor,Intel,0,0,0,64
Acer,Notebook,4.0,Others/No OS/Linux,2.1,19553.76,100.45466986113652,Intel Core i3,Intel,1000,0,0,0
Dell,Notebook,8.0,Windows,2.8,52161.12,127.33567457123112,Intel Core i5,AMD,1000,128,0,0
HP,Notebook,4.0,Windows,1.86,26037.4032,100.45466986113652,Intel Core i5,Intel,1000,0,0,0
HP,Notebook,8.0,Windows,2.1,46833.12,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0
Asus,Notebook,4.0,Others/No OS/Linux,2.0,20725.92,141.21199808219862,Intel Core i3,Intel,1000,0,0,0
Asus,Notebook,8.0,Others/No OS/Linux,2.3,27864.9072,100.45466986113652,Intel Core i5,Nvidia,1000,0,0,0
Acer,Notebook,4.0,Windows,2.2,36336.96,141.21199808219862,Intel Core i5,Intel,0,256,0,0
Dell,2 in 1 Convertible,12.0,Windows,2.77,53226.72,127.33567457123112,Intel Core i5,Nvidia,1000,0,0,0
Asus,Gaming,8.0,Windows,3.2,69210.72,127.33567457123112,AMD Processor,AMD,1000,256,0,0
Dell,Notebook,4.0,Windows,2.3,34045.92,141.21199808219862,Intel Core i5,AMD,0,256,0,0
Asus,Notebook,4.0,Windows,2.8,24828.48,90.58340172449304,Other Intel Processor,Nvidia,1000,0,0,0
Acer,Notebook,8.0,Windows,2.2,44808.48,141.21199808219862,Intel Core i7,Nvidia,0,256,0,0
HP,Notebook,4.0,Windows,1.86,21231.5472,141.21199808219862,AMD Processor,AMD,0,256,0,0
HP,Notebook,8.0,Windows,1.49,58767.84,165.6321180513006,Intel Core i7,Intel,0,512,0,0
Acer,Notebook,4.0,Windows,2.4,20459.52,100.45466986113652,Intel Core i3,Intel,1000,0,0,0
Dell,Notebook,8.0,Windows,2.13,40908.384,141.21199808219862,Intel Core i7,AMD,0,256,0,0
HP,Notebook,4.0,Windows,1.91,23389.92,141.21199808219862,Intel Core i3,Intel,0,128,0,0
Asus,Notebook,4.0,Windows,2.0,31232.2032,100.45466986113652,Intel Core i5,Intel,0,256,0,0
Asus,Notebook,4.0,Others/No OS/Linux,2.0,22111.2,141.21199808219862,Intel Core i3,Intel,0,256,0,0
Dell,Ultrabook,8.0,Windows,1.7,46833.12,157.3505121487356,Intel Core i5,Intel,0,256,0,0
Lenovo,Notebook,8.0,Others/No OS/Linux,1.7,31914.72,157.3505121487356,Intel Core i3,Intel,0,256,0,0
Asus,Notebook,8.0,Windows,1.4,50136.48,157.3505121487356,Intel Core i5,Intel,0,256,0,0
HP,Notebook,8.0,Windows,1.86,36763.2,141.21199808219862,Intel Core i5,Intel,0,256,0,0
HP,Notebook,4.0,Windows,1.86,23373.4032,100.45466986113652,Intel Core i3,AMD,500,0,0,0
HP,Notebook,4.0,Windows,1.44,12201.12,111.93520355955212,Other Intel Processor,Intel,0,32,0,0
Lenovo,Notebook,4.0,Windows,1.9,29250.72,141.21199808219862,Intel Core i5,Intel,1000,0,0,0
Asus,Gaming,12.0,Others/No OS/Linux,3.0,50562.72,127.33567457123112,Intel Core i7,Nvidia,1000,0,0,0
Other,Ultrabook,4.0,Windows,1.252,58021.92,200.84255993695703,Intel Core i5,Intel,0,128,0,0
Dell,Notebook,8.0,Windows,2.2,46353.6,141.21199808219862,Intel Core i7,AMD,0,256,0,0
MSI,Gaming,8.0,Windows,2.7,58341.6,127.33567457123112,Intel Core i5,Nvidia,1000,128,0,0
Acer,Notebook,8.0,Windows,2.1,20725.92,111.93520355955212,Intel Core i3,Intel,1000,0,0,0
Asus,Gaming,8.0,Windows,2.2,50562.72,141.21199808219862,Intel Core i7,Nvidia,1000,0,0,0
Lenovo,Notebook,8.0,Others/No OS/Linux,2.2,27652.32,141.21199808219862,Intel Core i5,Intel,2000,0,0,0
Dell,Notebook,8.0,Windows,2.02,45554.4,141.21199808219862,Intel Core i7,Intel,1000,128,0,0
Acer,Notebook,4.0,Windows,2.2,28238.4,141.21199808219862,Intel Core i3,Nvidia,1000,0,0,0
HP,Notebook,8.0,Windows,2.5,52054.56,127.33567457123112,Intel Core i5,Nvidia,1000,128,0,0
Dell,Ultrabook,8.0,Windows,1.88,58403.4048,141.21199808219862,Intel Core i5,Intel,0,256,0,0
HP,Notebook,8.0,Windows,1.63,45820.8,157.3505121487356,Intel Core i5,Intel,0,256,0,0
Lenovo,Notebook,4.0,Windows,2.2,21258.72,141.21199808219862,AMD Processor,AMD,0,128,0,0
Acer,Notebook,4.0,Windows,2.1,21045.6,100.45466986113652,AMD Processor,AMD,1000,0,0,0
HP,Ultrabook,8.0,Windows,1.83,37242.72,141.21199808219862,Intel Core i7,Nvidia,0,256,0,0
HP,Notebook,8.0,Windows,1.96,31914.1872,141.21199808219862,Intel Core i5,Intel,0,256,0,0
Dell,Ultrabook,8.0,Windows,1.21,87858.72,165.6321180513006,Intel Core i7,Intel,0,256,0,0
Asus,Gaming,8.0,Windows,2.45,37242.72,141.21199808219862,AMD Processor,AMD,1000,0,0,0
Acer,Notebook,2.0,Windows,2.2,36709.92,141.21199808219862,Intel Core i7,Nvidia,1000,0,0,0
Dell,Gaming,8.0,Windows,2.65,63669.6,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0
Asus,Ultrabook,8.0,Windows,1.25,55890.72,157.3505121487356,Intel Core i7,Intel,0,256,0,0
Acer,2 in 1 Convertible,8.0,Windows,1.5,45128.16,165.6321180513006,Intel Core i5,Intel,0,256,0,0
Dell,Notebook,8.0,Others/No OS/Linux,2.2,31962.672,141.21199808219862,Intel Core i7,AMD,1000,0,0,0
Dell,Notebook,4.0,Others/No OS/Linux,2.2,25840.8,141.21199808219862,Intel Core i3,AMD,0,256,0,0
Asus,Notebook,6.0,Windows,2.0,30742.56,141.21199808219862,Intel Core i3,Nvidia,0,256,0,0
HP,Gaming,12.0,Windows,2.62,66546.72,141.21199808219862,Intel Core i7,Nvidia,1000,128,0,0
HP,Notebook,8.0,Windows,1.91,38308.32,141.21199808219862,Intel Core i7,AMD,0,256,0,0
HP,Notebook,4.0,Windows,2.1,18594.72,141.21199808219862,AMD Processor,AMD,500,0,0,0
Dell,Notebook,8.0,Others/No OS/Linux,2.2,34472.16,141.21199808219862,Intel Core i5,AMD,1000,0,0,0
HP,Ultrabook,8.0,Windows,1.38,59620.32,165.6321180513006,Intel Core i7,Nvidia,0,256,0,0
Other,Ultrabook,8.0,Windows,1.252,71395.2,200.84255993695703,Intel Core i5,Intel,0,256,0,0
HP,Notebook,6.0,Windows,1.58,35111.52,157.3505121487356,Intel Core i5,Nvidia,0,256,0,0
Lenovo,Notebook,4.0,Windows,1.85,22105.872,141.21199808219862,Intel Core i3,Intel,1000,0,0,0
Asus,Ultrabook,8.0,Windows,1.3,63563.04,157.3505121487356,Intel Core i7,Nvidia,0,256,0,0
Lenovo,Notebook,8.0,Windows,1.58,78854.4,157.3505121487356,Intel Core i7,Intel,0,256,0,0
Lenovo,2 in 1 Convertible,8.0,Windows,1.37,74538.72,165.6321180513006,Intel Core i5,Intel,0,256,0,0
HP,Notebook,4.0,Windows,1.63,38468.16,111.93520355955212,Intel Core i5,Intel,500,0,0,0
Dell,Ultrabook,8.0,Windows,1.21,86793.12,165.6321180513006,Intel Core i5,Intel,0,256,0,0
HP,Notebook,8.0,Windows,1.63,57755.52,157.3505121487356,Intel Core i7,Intel,0,512,0,0
Dell,Notebook,8.0,Windows,2.16,60223.9824,141.21199808219862,Intel Core i7,Nvidia,1000,256,0,0
Asus,Notebook,4.0,Windows,2.0,30049.92,127.33567457123112,Intel Core i3,Nvidia,1000,0,0,0
Asus,Notebook,8.0,Windows,1.7,59567.04,141.21199808219862,Intel Core i7,Nvidia,0,256,0,0
Acer,Notebook,6.0,Windows,2.1,25521.12,141.21199808219862,Intel Core i3,Intel,1000,0,0,0
Lenovo,Notebook,8.0,Others/No OS/Linux,2.2,33513.12,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0
Acer,Notebook,4.0,Windows,2.1,24029.28,100.45466986113652,AMD Processor,AMD,0,256,0,0
HP,Notebook,8.0,Windows,1.63,43263.36,157.3505121487356,Intel Core i5,Intel,1000,0,0,0
Asus,Notebook,4.0,Windows,1.65,14811.3072,111.93520355955212,AMD Processor,AMD,0,64,0,0
HP,Notebook,8.0,Windows,2.5,49443.84,127.33567457123112,Intel Core i5,Intel,0,256,0,0
Dell,Notebook,8.0,Windows,2.36,34045.3872,100.45466986113652,Intel Core i5,AMD,1000,0,0,0
Dell,Notebook,4.0,Windows,2.2,23922.72,141.21199808219862,Intel Core i3,AMD,1000,0,0,0
Acer,Ultrabook,8.0,Windows,1.6,47099.52,157.3505121487356,Intel Core i7,Intel,0,256,0,0
HP,Notebook,8.0,Windows,2.05,31861.44,100.45466986113652,Intel Core i7,Intel,1000,0,0,0
HP,Notebook,8.0,Windows,1.63,52640.64,157.3505121487356,Intel Core i7,Intel,0,256,0,0
Lenovo,Notebook,4.0,Others/No OS/Linux,1.9,13445.7408,100.45466986113652,Other Intel Processor,Intel,1000,0,0,0
Asus,Gaming,8.0,Windows,3.0,49976.64,127.33567457123112,Intel Core i5,Nvidia,1000,128,0,0
Lenovo,Notebook,4.0,Others/No OS/Linux,2.2,26586.72,141.21199808219862,Intel Core i5,Nvidia,1000,0,0,0
HP,Notebook,4.0,Windows,1.32,37242.72,165.6321180513006,Intel Core i5,Intel,0,256,0,0
Acer,Notebook,4.0,Windows,3.0,34898.4,127.33567457123112,Intel Core i3,Nvidia,1000,0,0,0
Lenovo,Notebook,8.0,Windows,1.75,59461.5456,157.3505121487356,Intel Core i5,AMD,0,256,0,0
Lenovo,Gaming,8.0,Others/No OS/Linux,2.4,46300.32,141.21199808219862,Intel Core i7,Nvidia,0,256,0,0
Toshiba,Notebook,4.0,Windows,2.1,32074.56,100.45466986113652,Intel Core i5,Intel,500,0,0,0
HP,Notebook,4.0,Windows,1.86,19660.32,100.45466986113652,AMD Processor,AMD,0,256,0,0
Asus,Ultrabook,8.0,Windows,1.25,58554.72,157.3505121487356,Intel Core i7,Intel,0,256,0,0
Asus,Notebook,4.0,Windows,2.0,18328.32,141.21199808219862,Other Intel Processor,Intel,1000,0,0,0
Acer,Notebook,4.0,Windows,2.1,23816.16,100.45466986113652,Intel Core i3,Intel,1000,0,0,0
Dell,Gaming,8.0,Windows,2.62,47898.72,141.21199808219862,Intel Core i7,Nvidia,0,0,1000,0
Lenovo,Notebook,4.0,Windows,1.9,26533.44,100.45466986113652,Intel Core i5,Intel,0,128,0,0
HP,Ultrabook,4.0,Windows,1.48,57648.96,157.3505121487356,Intel Core i5,Intel,0,256,0,0
HP,Notebook,6.0,Windows,1.91,32980.32,141.21199808219862,Intel Core i5,AMD,0,256,0,0
Lenovo,2 in 1 Convertible,4.0,Windows,1.74,33513.12,157.3505121487356,Intel Core i3,Intel,0,256,0,0
Asus,2 in 1 Convertible,8.0,Windows,1.1,70063.2,165.6321180513006,Intel Core i5,Intel,0,256,0,0
Dell,2 in 1 Convertible,8.0,Windows,1.56,55890.72,141.21199808219862,Intel Core i7,Intel,0,256,0,0
Toshiba,Notebook,4.0,Windows,2.1,23816.16,100.45466986113652,Intel Core i3,Intel,500,0,0,0
Asus,Notebook,4.0,Windows,2.03,21471.84,100.45466986113652,AMD Processor,AMD,1000,0,0,0
Acer,Notebook,4.0,Windows,3.0,42890.4,127.33567457123112,Intel Core i5,Nvidia,0,256,0,0
Dell,Notebook,8.0,Windows,2.13,38787.84,141.21199808219862,Intel Core i5,AMD,0,256,0,0
Acer,Notebook,4.0,Windows,2.1,18541.44,100.45466986113652,Other Intel Processor,Intel,1000,0,0,0
Acer,Notebook,4.0,Windows,2.1,19367.8128,100.45466986113652,Other Intel Processor,Intel,1000,0,0,0
Dell,Gaming,8.0,Windows,2.56,56502.9072,141.21199808219862,Intel Core i7,Nvidia,1000,128,0,0
Acer,Notebook,8.0,Windows,3.0,45501.12,127.33567457123112,Intel Core i5,Nvidia,0,256,0,0
HP,Notebook,4.0,Windows,1.49,40173.12,165.6321180513006,Intel Core i5,Intel,500,0,0,0
Other,Ultrabook,8.0,Windows,1.05,71874.72,199.69207064108247,Intel Core i5,Intel,0,256,0,0
HP,Notebook,6.0,Windows,2.71,37242.72,127.33567457123112,Intel Core i5,AMD,2000,0,0,0
Lenovo,Notebook,4.0,Others/No OS/Linux,2.2,16463.52,100.45466986113652,AMD Processor,AMD,500,0,0,0
HP,Notebook,8.0,Windows,2.5,49177.44,127.33567457123112,Intel Core i5,Nvidia,0,256,0,0
Dell,Notebook,8.0,Windows,2.3,24455.52,100.45466986113652,Intel Core i3,Intel,1000,0,0,0
Acer,Notebook,4.0,Windows,2.1,23922.72,100.45466986113652,Intel Core i3,Intel,0,128,0,0
Lenovo,Notebook,8.0,Windows,1.9,43316.64,141.21199808219862,Intel Core i5,AMD,1000,128,0,0
Dell,Ultrabook,8.0,Windows,1.23,74538.72,165.6321180513006,Intel Core i5,Intel,0,256,0,0
Toshiba,Notebook,8.0,Windows,2.0,42251.04,100.45466986113652,Intel Core i5,Intel,0,128,0,0
Other,Notebook,8.0,Others/No OS/Linux,1.95,63882.72,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0
Lenovo,Gaming,8.0,Others/No OS/Linux,2.4,41505.12,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0
Acer,Ultrabook,8.0,Windows,1.12,52693.92,165.6321180513006,Intel Core i5,Intel,0,256,0,0
Dell,Notebook,8.0,Windows,2.8,57808.8,127.33567457123112,Intel Core i7,AMD,1000,128,0,0
Other,Notebook,4.0,Windows,1.3,13852.8,157.3505121487356,Other Intel Processor,Intel,0,0,0,32
Other,Ultrabook,8.0,Others/No OS/Linux,1.3,53274.672,165.6321180513006,Intel Core i5,Nvidia,0,256,0,0
Lenovo,Notebook,8.0,Others/No OS/Linux,2.8,37189.44,106.11306214269258,Intel Core i5,Nvidia,0,256,0,0
Dell,2 in 1 Convertible,8.0,Windows,1.62,44701.92,165.6321180513006,Intel Core i7,Intel,1000,0,0,0
HP,Notebook,8.0,Windows,2.5,48697.92,127.33567457123112,Intel Core i5,Nvidia,1000,0,0,0
HP,Notebook,8.0,Windows,1.49,51095.52,165.6321180513006,Intel Core i5,Intel,0,512,0,0
HP,Notebook,8.0,Windows,2.5,55677.6,127.33567457123112,Intel Core i7,Nvidia,0,256,0,0
Lenovo,Notebook,4.0,Windows,2.1,26267.04,100.45466986113652,Intel Core i5,Intel,0,128,0,0
Acer,Notebook,8.0,Windows,2.23,39533.76,141.21199808219862,Intel Core i7,Nvidia,1000,0,0,0
Dell,Notebook,6.0,Windows,2.3,23389.92,100.45466986113652,Intel Core i3,Intel,1000,0,0,0
Dell,Ultrabook,8.0,Windows,2.04,77202.72,165.6321180513006,Intel Core i7,Intel,0,256,0,0
Acer,Notebook,8.0,Others/No OS/Linux,2.4,41505.12,141.21199808219862,Intel Core i7,Nvidia,1000,0,0,0
HP,Notebook,4.0,Others/No OS/Linux,2.1,18594.72,141.21199808219862,Intel Core i3,Intel,500,0,0,0
Lenovo,Notebook,8.0,Others/No OS/Linux,2.2,29250.72,141.21199808219862,Intel Core i5,Intel,0,256,0,0
Other,Ultrabook,8.0,Windows,1.05,79866.72,199.69207064108247,Intel Core i7,Intel,0,512,0,0
Dell,Ultrabook,8.0,Windows,1.4,49650.5664,165.6321180513006,Intel Core i7,AMD,0,256,0,0
Lenovo,Notebook,8.0,Others/No OS/Linux,2.8,31381.92,106.11306214269258,Intel Core i5,Nvidia,1000,0,0,0
HP,Notebook,8.0,Windows,1.63,54931.68,157.3505121487356,Intel Core i7,Nvidia,0,256,0,0
Dell,Ultrabook,8.0,Windows,1.6,61218.72,157.3505121487356,Intel Core i5,Intel,0,256,0,0
Dell,Notebook,8.0,Others/No OS/Linux,2.2,36089.208,141.21199808219862,Intel Core i5,AMD,0,256,0,0
Lenovo,2 in 1 Convertible,8.0,Windows,1.74,47898.72,157.3505121487356,Intel Core i5,Intel,0,256,0,0
Toshiba,Ultrabook,8.0,Windows,1.2,72620.64,165.6321180513006,Intel Core i7,Intel,0,256,0,0
HP,Notebook,8.0,Windows,2.1,42304.32,141.21199808219862,Intel Core i5,Intel,1000,0,0,0
Acer,Notebook,8.0,Windows,2.2,44328.96,141.21199808219862,Intel Core i7,Nvidia,0,256,0,0
Asus,Notebook,8.0,Windows,2.0,40972.32,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0
Asus,Notebook,8.0,Windows,2.69,47472.48,127.33567457123112,Intel Core i5,Nvidia,500,256,0,0
HP,Notebook,8.0,Windows,1.9,67612.32,141.21199808219862,Intel Core i7,AMD,1000,0,0,0
Asus,Notebook,4.0,Windows,2.37,21258.1872,100.45466986113652,Intel Core i3,Intel,1000,0,0,0
HP,Notebook,4.0,Windows,2.1,17582.4,100.45466986113652,AMD Processor,AMD,500,0,0,0
Dell,Notebook,8.0,Windows,1.6,45767.52,157.3505121487356,Intel Core i5,Intel,0,256,0,0
Acer,2 in 1 Convertible,8.0,Windows,1.6,36709.92,165.6321180513006,Intel Core i5,Intel,0,256,0,0
Acer,Notebook,4.0,Others/No OS/Linux,2.1,20779.2,100.45466986113652,Intel Core i3,Intel,1000,0,0,0
Asus,Notebook,4.0,Windows,2.2,30636.0,141.21199808219862,AMD Processor,AMD,1000,128,0,0
Acer,Gaming,8.0,Windows,2.5,45074.88,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0
Asus,Notebook,8.0,Windows,2.1,61005.6,127.33567457123112,Intel Core i7,Nvidia,1000,128,0,0
Asus,Notebook,8.0,Others/No OS/Linux,2.69,47365.92,127.33567457123112,Intel Core i7,Nvidia,1000,128,0,0
Dell,Gaming,8.0,Windows,2.56,46833.12,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0
Lenovo,2 in 1 Convertible,8.0,Windows,1.38,57489.12,158.48253022174808,Intel Core i7,Intel,0,256,0,0
Dell,Notebook,8.0,Windows,2.2,52480.8,141.21199808219862,Intel Core i7,AMD,2000,128,0,0
HP,Notebook,8.0,Windows,2.04,29783.52,100.45466986113652,Intel Core i5,Intel,1000,0,0,0
HP,Notebook,4.0,Windows,1.49,35964.0,165.6321180513006,Intel Core i5,Intel,500,0,0,0
Dell,2 in 1 Convertible,8.0,Windows,2.08,43636.32,141.21199808219862,Intel Core i7,Intel,1000,0,0,0
Asus,Notebook,4.0,Windows,1.68,24988.32,100.45466986113652,AMD Processor,AMD,1000,0,0,0
Lenovo,2 in 1 Convertible,8.0,Windows,1.37,98514.72,158.48253022174808,Intel Core i7,Intel,0,512,0,0
Acer,Notebook,4.0,Windows,3.0,37402.56,127.33567457123112,Intel Core i3,Nvidia,0,256,0,0
Dell,Ultrabook,8.0,Windows,1.41,50562.72,165.6321180513006,Intel Core i5,Intel,0,256,0,0
HP,Notebook,8.0,Windows,1.91,23757.552,100.45466986113652,AMD Processor,AMD,0,128,0,0
Lenovo,2 in 1 Convertible,8.0,Windows,2.0,90522.72,141.21199808219862,Intel Core i7,Nvidia,0,512,0,0
Dell,Notebook,8.0,Windows,2.8,60845.76,127.33567457123112,Intel Core i7,AMD,1000,128,0,0
Lenovo,Notebook,4.0,Others/No OS/Linux,2.2,23656.32,141.21199808219862,Intel Core i3,Intel,0,256,0,0
HP,Notebook,4.0,Windows,2.1,38468.16,141.21199808219862,Intel Core i5,Intel,500,0,0,0
Dell,Notebook,4.0,Windows,2.18,35004.96,141.21199808219862,Intel Core i5,Intel,1000,0,0,0
Dell,Notebook,8.0,Windows,2.24,30103.2,141.21199808219862,Intel Core i5,AMD,1000,0,0,0
Dell,2 in 1 Convertible,8.0,Windows,2.67,42570.72,141.21199808219862,Intel Core i5,Intel,0,256,0,0
HP,Notebook,8.0,Windows,2.5,54239.04,127.33567457123112,Intel Core i7,Nvidia,1000,0,0,0
Lenovo,Notebook,8.0,Windows,2.05,46886.4,141.21199808219862,Intel Core i7,Intel,0,256,0,0
Dell,Notebook,8.0,Others/No OS/Linux,2.14,39164.5296,141.21199808219862,Intel Core i7,AMD,0,256,0,0
Toshiba,Notebook,8.0,Windows,2.2,43263.36,100.45466986113652,Intel Core i7,Nvidia,500,0,0,0
Dell,Notebook,12.0,Windows,2.3,37992.3696,100.45466986113652,Intel Core i7,Intel,1000,0,0,0
Dell,Notebook,8.0,Others/No OS/Linux,2.8,58554.72,127.33567457123112,Intel Core i7,AMD,1000,128,0,0
Acer,Notebook,8.0,Windows,2.2,39693.6,141.21199808219862,Intel Core i7,Nvidia,1000,0,0,0
Lenovo,Notebook,4.0,Windows,2.8,26053.92,106.11306214269258,Intel Core i3,Intel,1000,0,0,0
Lenovo,Notebook,8.0,Others/No OS/Linux,2.8,45234.72,127.33567457123112,Intel Core i7,Nvidia,2000,0,0,0
Lenovo,Notebook,6.0,Windows,2.8,45767.52,106.11306214269258,Intel Core i7,Nvidia,1000,128,0,0
Dell,Notebook,4.0,Others/No OS/Linux,2.25,22803.84,141.21199808219862,Intel Core i3,AMD,1000,0,0,0
Lenovo,Gaming,8.0,Windows,2.5,44169.12,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0
Lenovo,Notebook,6.0,Windows,2.2,30849.12,141.21199808219862,Intel Core i5,Intel,0,256,0,0
Acer,Notebook,8.0,Windows,3.0,50669.28,141.21199808219862,Intel Core i7,Nvidia,0,256,0,0
Acer,Notebook,12.0,Windows,2.15,35111.52,141.21199808219862,Intel Core i7,Intel,1000,0,0,0
Lenovo,Notebook,8.0,Windows,1.95,58448.16,141.21199808219862,Intel Core i7,Intel,0,256,0,0
Asus,Ultrabook,8.0,Windows,1.7,52054.56,141.21199808219862,Intel Core i5,Nvidia,0,256,0,0
Lenovo,Notebook,8.0,Others/No OS/Linux,2.2,35112.0528,141.21199808219862,Intel Core i7,Nvidia,1000,0,0,0
Acer,Notebook,2.0,Others/No OS/Linux,2.19,10602.72,100.45466986113652,Other Intel Processor,Intel,0,16,0,0
Asus,Gaming,8.0,Windows,3.0,63243.36,127.33567457123112,Intel Core i7,Nvidia,1000,0,0,0
HP,Notebook,8.0,Windows,2.54,26053.92,106.11306214269258,Intel Core i3,Intel,1000,0,0,0
Dell,Notebook,8.0,Windows,2.0,97449.12,141.21199808219862,Intel Core i7,Nvidia,0,256,0,0
Lenovo,Notebook,8.0,Windows,2.05,39373.92,141.21199808219862,Intel Core i5,Intel,0,256,0,0
Lenovo,Gaming,8.0,Windows,3.2,69210.72,141.21199808219862,Intel Core i7,Nvidia,1000,0,0,0
Acer,Notebook,8.0,Others/No OS/Linux,2.5,52161.12,141.21199808219862,Intel Core i7,Nvidia,0,256,0,0
Lenovo,Notebook,6.0,Windows,2.4,26586.72,141.21199808219862,AMD Processor,AMD,1000,0,0,0
Asus,Notebook,4.0,Windows,1.3,27119.52,111.93520355955212,Intel Core i3,Intel,0,128,0,0
Lenovo,Notebook,8.0,Others/No OS/Linux,2.2,29250.72,100.45466986113652,Intel Core i5,Nvidia,2000,0,0,0
Asus,Gaming,8.0,Windows,2.5,67399.2,141.21199808219862,Intel Core i7,Nvidia,1000,128,0,0
Lenovo,Notebook,4.0,Others/No OS/Linux,2.2,19180.2672,100.45466986113652,Other Intel Processor,Intel,1000,0,0,0
Toshiba,Notebook,8.0,Windows,2.2,55571.04,141.21199808219862,Intel Core i7,Nvidia,0,256,0,0
Lenovo,Notebook,8.0,Windows,2.3,43636.32,141.21199808219862,Intel Core i5,Nvidia,1000,128,0,0
HP,Notebook,4.0,Windows,1.86,24988.32,141.21199808219862,Intel Core i3,Intel,1000,0,0,0
Lenovo,Notebook,8.0,Windows,1.1,53226.72,165.6321180513006,Intel Core i5,Intel,0,256,0,0
Acer,Notebook,8.0,Windows,2.23,24988.32,141.21199808219862,AMD Processor,AMD,0,256,0,0
Asus,2 in 1 Convertible,2.0,Windows,1.1,14652.0,135.0942111925629,Other Intel Processor,Intel,0,0,0,32
Dell,Notebook,8.0,Windows,2.33,44968.32,141.21199808219862,Intel Core i5,AMD,1000,128,0,0
Lenovo,Notebook,4.0,Others/No OS/Linux,1.45,24503.472,117.82653006268644,Other Intel Processor,Intel,0,0,0,16
HP,Notebook,8.0,Windows,1.95,52214.4,157.3505121487356,Intel Core i5,Intel,0,256,0,0
Acer,Notebook,4.0,Windows,1.4,25840.8,135.0942111925629,Other Intel Processor,Intel,0,0,0,128
HP,Notebook,8.0,Windows,1.48,68837.76,157.3505121487356,Intel Core i7,Intel,0,256,0,0
Lenovo,Notebook,4.0,Windows,2.79,31381.92,106.11306214269258,Intel Core i5,Nvidia,1000,0,0,0
Asus,Notebook,8.0,Windows,2.0,58288.32,157.3505121487356,Intel Core i7,Intel,0,256,0,0
HP,Notebook,8.0,Windows,2.1,48058.56,100.45466986113652,Intel Core i7,Intel,1000,0,0,0
